"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","940","1030","1040","980","1010","980","1010","1010","1020","1120","1150","1160","1180","1200","1250","1290","1300","1300","1300","1320","1340","1380","1410","1430","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1100","1220","1320","1560","1760","1930","2130","2360","2590","2940","3060","3170","3330","3720","3990","4380","5250","5650","5590","5590","5910","5990","6120","6220","6390",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4550","4700","5170","5540","5850","6020","6060","6330","6680","6580","6990","7390","7710","8090","8720","9520","10640","11240","11840","11390","12150","12890","13590","14070","14480","14880",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5469.47826329206","5709.17904906608","5880.67571760499","6350.69122983479","6567.25964991479","6865.92358607379","7277.2170612309","7412.63328591627","7631.62146059959","7953.86335870407","8361.61700412587","8565.6321464189","9083.99099254597","9831.88717159692","10590.7875150945","11275.7197933137","12474.2076496771","13225.8396458192","13691.078811506","13148.7340423649","13299.5000635256","13210.1821896662","13569.9534522518","14231.6673557407","14561.2212086475","14796.1650901184",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","7950","7170","6210","6350","6570","7200","7500","7580","8140","8770","9260","9490","10050","10880","12490","14460","15830","16780","16980","17660","18630","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13400","13600","14760","14880","15720","15690","16060","16390","18900","18100","18940","20750","21800","22850","24140","25900","28600","31300","33960","33650","32920","33080","30930","29530","29450","30840",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12130","12740","13700","14490","14700","14770","15120","15980","17170","17680","18960","20020","21280","22920","24970","25350","25110","25030","26440","26930","28230","29270","30420",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19340","20710","21410","21490","22320","23050","23630","24110","24710","25580","26450","27490","28090","29100","30910","32470","35290","37320","38810","37950","40420","43210","44640","45140","47380","48260",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","1990","1880","1840","1790","1710","1680","1660","1700","1730","1760","1810","1980","2120","2220","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4220","4330","4530","4730","4790","4950","5080","5330","5750","5690","5710","6170","6080","6690","6980","7260","8010","8670","9510","9570","9830","9970","10000","9990","10560","10420",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18300","19090","19930","20450","21990","23110","24150","25340","26320","27310","28950","29830","31230","31080","33290","34340","37620","38870","41290","40010","42520","44230","44880","46890","47300","47810",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3290","3390","3750","3980","4110","4350","4690","5070","5390","5730","6100","6250","6620","6480","6520","7460","8420","9270","9750","9790","10710","10950","11280","11740","12630","13570",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6390","6270","6400","6340","6250","6420","6680","6820","7170","7360","7690","8170","8570","9270","9760","10490","10910","11700","12090","12160","12620","12900","13300","13520","13950","14280",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1395.58404663447","1505.67002990297","1683.06681866041","1919.96454865227","2146.30808986287","2353.94348772919","2578.11700323667","2769.28417844689","2780.31305328218","2949.50863468815","3204.9121845458","3442.45192031095","3730.59208571595","4162.03319287786","4615.68055012923","5157.48842119985","5853.89471897833","6690.81925741209","7355.76783399834","7861.92724914638","8645.52031163024","9418.9598854399","10269.6830494401","11039.6716853163","11916.3431382335","12681.2966517892",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2529.31762087652","2652.18179005488","2784.69219148316","2984.55530946103","3090.97268429966","3191.27105974145","3362.92693076995","3513.53648425724","3606.23686180833","3687.8370914432","3870.67278502821","3959.21333980735","4034.20450661417","4288.02651192795","4632.7434847519","5048.66952791902","5501.00099409963","5967.6519656087","6270.07745464221","6421.42881133461","6835.83131423796","7218.78096786335","7553.53463346061","7861.94995799893","8268.87814880736","8637.85348611083",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3146.95131035468","3362.88018798914","3588.25741635624","3868.4862091568","4151.83312740375","4435.30558050521","4743.66253765425","5006.26612777698","4977.79017228628","5206.78458028195","5589.60311779949","5878.77896238056","6238.53830381181","6707.88691975025","7287.72706211668","7906.47152508875","8723.00533061379","9685.90054964895","10327.3114395777","10671.1111922865","11587.9806668958","12403.4941458381","13296.7221409547","14119.8255237315","14950.3733556404","15702.2018875733",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6225.52923782031","6020.4583267968","5413.23603216204","5153.77343274082","4661.22502555869","4614.2490704321","4642.61717819171","4787.74051956464","5082.62596967371","5233.46157355297","5897.39062580975","6255.96055274325","6686.27324229588","7338.85333895945","8264.60242207344","9308.92806296667","11062.3611212748","12323.2360285449","14134.7270800012","13642.1560229423","14522.1781000046","16325.0741595009","17091.7321040141","17010.6841042343","17732.5810158315","17623.4664377944",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11280.2903496194","11599.486710989","11630.2543915849","11704.7857706335","11944.2972842756","12387.4165912323","12835.3965136503","13425.1124797773","14067.9707606837","14603.9729592397","15765.1427315702","16576.9218755769","17260.6257032107","17944.7129969221","19095.8390767398","20339.7374130138","22464.1329754235","23968.3427286539","25404.0508129596","24801.7015172587","25766.362177087","27309.4113735512","27971.3660444751","28472.818148194","29138.853888891","29477.3833820921",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5050","5290","5420","5480","5720","5820","5380","5400","5790","6080","6250","6810","7330","7790","8040","8710","8710","9030","9770","10360","10840","11240","11190",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3790","3930","4120","4230","4450","4690","4950","5240","5420","5720","6050","6300","6360","6550","6870","7280","7930","8610","9240","9490","9700","9810","10010","10130","10320","10690",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16817.1146949601","17742.0787908637","18311.676745782","18553.2258265482","19309.9246102561","20175.416969186","20865.5699009597","21730.3247322512","22694.9702254027","23615.2660616548","25048.6620610043","26253.1554426699","27007.0418935802","27553.6741375399","28758.4496921536","30078.7505484571","32625.71282199","34468.7435155385","35689.7476552722","34944.4852606749","36059.3351530384","37448.165439755","37947.2789555996","38813.1473333133","39491.1181649781","40133.6369022757",
